PRIOR,COV,LIK,METRIC,MEDIAN,LOW,HIGH
Flat,Exp,Bin,LPPD,-3504.6675296575813,-3655.4313683023665,-3400.802023624874
Flat,Exp,Bin,LOSS,2017.3152957376824,2011.7013241720142,2023.2653983258447
Flat,Exp,Bin,LOO,3909.234501999987,2113.2803805658777,5705.188623434096
Flat,Exp,Bin,WAIC,3946.5267510960775,2136.7280093602403,5756.325492831915
Flat,Exp,Bin,SLH,0.4653462340946954,0.0,0.0
Flat,Exp,Bin,CHS,14.95979869041667,0.0,0.0
Flat,Exp,Bin,DBS,0.9682573853862693,0.0,0.0
Flat,Exp,BBin,LPPD,221.6546269351665,212.18862172582732,226.758653125791
Flat,Exp,BBin,LOSS,772.2774619626093,767.9286971164609,776.7282685149754
Flat,Exp,BBin,LOO,1493.7224468920642,1342.7518506620804,1644.693043122048
Flat,Exp,BBin,WAIC,1492.5345580149506,1341.76447048896,1643.3046455409412
Flat,Exp,BBin,SLH,0.4420265641619191,0.0,0.0
Flat,Exp,BBin,CHS,19.91465593989371,0.0,0.0
Flat,Exp,BBin,DBS,0.7125331553602701,0.0,0.0
GP0,Exp,Bin,LPPD,-5414.86150568549,-5548.7250018503555,-4580.430108168128
GP0,Exp,Bin,LOSS,1617.0165648570373,1602.8709614036472,1637.3831903972853
GP0,Exp,Bin,LOO,3099.9511837361106,1534.6004711064863,4665.301896365735
GP0,Exp,Bin,WAIC,3098.1243565604923,1525.708210567945,4670.54050255304
GP0,Exp,Bin,SLH,0.15049166009414322,0.0,0.0
GP0,Exp,Bin,CHS,5.906856938715587,0.0,0.0
GP0,Exp,Bin,DBS,1.8419257017073005,0.0,0.0
GP0,Exp,BBin,LPPD,237.83925289634232,225.9718012377454,245.13125843822783
GP0,Exp,BBin,LOSS,761.4420082419335,754.1723773797232,771.9281208022755
GP0,Exp,BBin,LOO,1457.5019066988068,1295.195263723657,1619.8085496739566
GP0,Exp,BBin,WAIC,1443.6695076490707,1286.062087844953,1601.2769274531884
GP0,Exp,BBin,SLH,0.5338635561260646,0.0,0.0
GP0,Exp,BBin,CHS,28.107651446210124,0.0,0.0
GP0,Exp,BBin,DBS,0.4852238319734913,0.0,0.0
GP0,Mat32,Bin,LPPD,-5371.159289411029,-5501.498053423174,-4648.002376806837
GP0,Mat32,Bin,LOSS,1779.745881163326,1761.4988797076064,1799.821597441954
GP0,Mat32,Bin,LOO,3617.7289382769977,2007.2101257186484,5228.247750835347
GP0,Mat32,Bin,WAIC,3683.6510520127877,2072.385317602615,5294.91678642296
GP0,Mat32,Bin,SLH,0.04961942302617697,0.0,0.0
GP0,Mat32,Bin,CHS,4.366249576874234,0.0,0.0
GP0,Mat32,Bin,DBS,1.975442476400028,0.0,0.0
GP0,Mat32,BBin,LPPD,237.85776656483404,225.4484779419104,244.85230788387466
GP0,Mat32,BBin,LOSS,764.2688732452332,756.9196276601758,775.0651869538269
GP0,Mat32,BBin,LOO,1444.7826099183692,1291.216643537774,1598.3485762989644
GP0,Mat32,BBin,WAIC,1440.409941295351,1286.9611894928714,1593.8586930978306
GP0,Mat32,BBin,SLH,0.5338635561260646,0.0,0.0
GP0,Mat32,BBin,CHS,28.107651446210124,0.0,0.0
GP0,Mat32,BBin,DBS,0.4852238319734913,0.0,0.0
GP0,Mat52,Bin,LPPD,-2493.6431188022066,-2596.9924718504053,-1763.2398110871593
GP0,Mat52,Bin,LOSS,1785.952325343928,1770.4205380361727,1804.9930487692457
GP0,Mat52,Bin,LOO,3528.890308075077,1942.9698074412695,5114.810808708884
GP0,Mat52,Bin,WAIC,3529.9700081334418,1953.3165175563695,5106.6234987105145
GP0,Mat52,Bin,SLH,0.39124184610656976,0.0,0.0
GP0,Mat52,Bin,CHS,22.72434215797797,0.0,0.0
GP0,Mat52,Bin,DBS,1.426981316542441,0.0,0.0
GP0,Mat52,BBin,LPPD,237.5525643115045,225.58024983884033,244.4730413085331
GP0,Mat52,BBin,LOSS,765.4051967916874,758.1985071084648,775.6291214679317
GP0,Mat52,BBin,LOO,1449.6773319611777,1292.413845736195,1606.9408181861604
GP0,Mat52,BBin,WAIC,1441.0943307587524,1286.997434652929,1595.1912268645758
GP0,Mat52,BBin,SLH,0.5338635561260646,0.0,0.0
GP0,Mat52,BBin,CHS,28.107651446210124,0.0,0.0
GP0,Mat52,BBin,DBS,0.4852238319734913,0.0,0.0
GP0,ExpQ,Bin,LPPD,-5263.100872738473,-5397.206516478025,-4521.162476662415
GP0,ExpQ,Bin,LOSS,1735.393572530591,1721.7214738068017,1754.0606311891356
GP0,ExpQ,Bin,LOO,3384.90443310094,1789.6866826780097,4980.12218352387
GP0,ExpQ,Bin,WAIC,3458.653654459667,1855.9667908969852,5061.340518022349
GP0,ExpQ,Bin,SLH,0.23561884163908695,0.0,0.0
GP0,ExpQ,Bin,CHS,17.303763721732107,0.0,0.0
GP0,ExpQ,Bin,DBS,1.6187159722789826,0.0,0.0
GP0,ExpQ,BBin,LPPD,236.70089843481645,223.15174565865956,243.86609135620174
GP0,ExpQ,BBin,LOSS,767.3300055716838,759.9408049025621,777.5311722213347
GP0,ExpQ,BBin,LOO,1451.5824356264973,1297.7194480278783,1605.4454232251162
GP0,ExpQ,BBin,WAIC,1443.406051789558,1292.6597443283686,1594.1523592507474
GP0,ExpQ,BBin,SLH,0.5338635561260646,0.0,0.0
GP0,ExpQ,BBin,CHS,28.107651446210124,0.0,0.0
GP0,ExpQ,BBin,DBS,0.4852238319734913,0.0,0.0
GP1,Exp,Bin,LPPD,-2488.2039585315,-2637.7822421522233,-2338.6842539779514
GP1,Exp,Bin,LOSS,1859.6366591394803,1845.1626453522085,1880.686655075947
GP1,Exp,Bin,LOO,3649.6303963363835,2057.382802890287,5241.87798978248
GP1,Exp,Bin,WAIC,3753.856251621097,2154.555628353127,5353.156874889067
GP1,Exp,Bin,SLH,0.15974410824846302,0.0,0.0
GP1,Exp,Bin,CHS,6.237052149933408,0.0,0.0
GP1,Exp,Bin,DBS,1.3544541916277115,0.0,0.0
GP1,Exp,BBin,LPPD,219.11924170009667,206.75745554801793,226.02621027596976
GP1,Exp,BBin,LOSS,780.0174455896721,773.2449406177791,790.5421429769885
GP1,Exp,BBin,LOO,1515.6586136290816,1363.4508406067323,1667.866386651431
GP1,Exp,BBin,WAIC,1511.5456098957395,1360.1664081003696,1662.9248116911094
GP1,Exp,BBin,SLH,0.4420265641619191,0.0,0.0
GP1,Exp,BBin,CHS,19.91465593989371,0.0,0.0
GP1,Exp,BBin,DBS,0.7125331553602701,0.0,0.0
GP1,Mat32,Bin,LPPD,-2473.5569184097167,-2583.43534797473,-1754.2142593803192
GP1,Mat32,Bin,LOSS,1857.506410468812,1840.1064647652374,1877.5042501252071
GP1,Mat32,Bin,LOO,3655.8293798532786,2039.2982882957897,5272.360471410768
GP1,Mat32,Bin,WAIC,3835.8748190507818,2176.4608350359817,5495.288803065581
GP1,Mat32,Bin,SLH,0.2217427456468257,0.0,0.0
GP1,Mat32,Bin,CHS,8.69171485753377,0.0,0.0
GP1,Mat32,Bin,DBS,2.142333547625182,0.0,0.0
GP1,Mat32,BBin,LPPD,227.12415196887017,213.58597723997715,234.4820853367224
GP1,Mat32,BBin,LOSS,776.6408618282244,769.1710018528319,787.5332320373938
GP1,Mat32,BBin,LOO,1476.017596390676,1320.5038968894262,1631.531295891926
GP1,Mat32,BBin,WAIC,1470.68679754452,1315.8886605773105,1625.4849345117295
GP1,Mat32,BBin,SLH,0.5190959118998024,0.0,0.0
GP1,Mat32,BBin,CHS,28.524217003544834,0.0,0.0
GP1,Mat32,BBin,DBS,0.5926268774525408,0.0,0.0
GP1,Mat52,Bin,LPPD,-2399.2064612910235,-2512.44193298477,-1699.5625989751088
