PRIOR,COV,LIK,METRIC,MEDIAN,LOW,HIGH
Flat,Exp,Bin,LPPD,-254.10020456411144,-403.33674658629917,414.5447318216664
Flat,Exp,Bin,LOSS,6560.671041766083,6554.232257050451,6569.0117961928345
Flat,Exp,Bin,LOO,13194.933906043621,10774.350690856225,15615.517121231018
Flat,Exp,Bin,WAIC,13521.777500075928,11038.590558627538,16004.964441524318
Flat,Exp,Bin,SLH,0.05519619698982177,0.0,0.0
Flat,Exp,Bin,CHS,18.717886846079978,0.0,0.0
Flat,Exp,Bin,DBS,1.6329493482687076,0.0,0.0
Flat,Exp,BBin,LPPD,2780.476980186903,2763.661252393408,2790.671182840829
Flat,Exp,BBin,LOSS,2369.022583302189,2362.3845985021376,2376.055822174408
Flat,Exp,BBin,LOO,4612.395354294876,4388.999691552232,4835.791017037519
Flat,Exp,BBin,WAIC,4612.673087393646,4389.411838668601,4835.93433611869
Flat,Exp,BBin,SLH,0.02222215071347558,0.0,0.0
Flat,Exp,BBin,CHS,10.524092919654336,0.0,0.0
Flat,Exp,BBin,DBS,1.115614395605786,0.0,0.0
GP0,Exp,Bin,LPPD,42.828740617135196,-491.82045025904966,418.5364066910416
GP0,Exp,Bin,LOSS,4670.300546332318,4644.267629723104,4706.364652813997
GP0,Exp,Bin,LOO,9320.419508646908,7446.18113001169,11194.657887282126
GP0,Exp,Bin,WAIC,9726.525967252295,7772.681558194287,11680.370376310304
GP0,Exp,Bin,SLH,-0.07911907352356501,0.0,0.0
GP0,Exp,Bin,CHS,6.189095394937757,0.0,0.0
GP0,Exp,Bin,DBS,2.607540539931482,0.0,0.0
GP0,Exp,BBin,LPPD,2776.827898896241,2752.291736541741,2792.4759425332577
GP0,Exp,BBin,LOSS,2365.339504806999,2353.692074760789,2383.205747906424
GP0,Exp,BBin,LOO,4658.769832594461,4453.05728954881,4864.482375640112
GP0,Exp,BBin,WAIC,4652.508051944883,4445.1909162920365,4859.825187597729
GP0,Exp,BBin,SLH,0.04785043640824365,0.0,0.0
GP0,Exp,BBin,CHS,14.123338037360828,0.0,0.0
GP0,Exp,BBin,DBS,2.100512337666354,0.0,0.0
GP0,Mat32,Bin,LPPD,195.39482858488168,-542.4017656749454,347.7294093856854
GP0,Mat32,Bin,LOSS,4760.073215829567,4735.922789348123,4794.492690826057
