REP,NCLUSTERS,NSAMPLES,NMUTS,TAU,H2,PRIOR,COV,LIK,ARI,AMI,FMI,RMSE
1,2,3,25,1,1,Flat,Exp,Bin,1.0,1.0,1.0,1.299615645790236
1,2,3,25,1,1,Flat,Exp,BBin,1.0,1.0,1.0,1.2966641499081364
1,2,3,25,1,1,GP0,Exp,Bin,1.0,1.0,1.0,1.3047285444512888
1,2,3,25,1,1,GP0,Exp,BBin,1.0,1.0,1.0,1.2668851933434655
1,2,3,25,1,1,GP0,ExpQ,Bin,1.0,1.0,1.0,1.2636047132715822
1,2,3,25,1,1,GP0,ExpQ,BBin,1.0,1.0,1.0,1.252048069593877
1,2,3,25,1,10,Flat,Exp,Bin,0.6933333333333334,0.5748441696185085,0.8466666666666668,1.7435407063510426
1,2,3,25,1,10,Flat,Exp,BBin,0.0,4.948902429398244e-16,0.7071067811865476,1.671809796005827
1,2,3,25,1,10,GP0,Exp,Bin,0.6933333333333334,0.5748441696185085,0.8466666666666668,1.6954068672386544
1,2,3,25,1,10,GP0,Exp,BBin,0.0,4.948902429398244e-16,0.7071067811865476,1.6541889238525238
1,2,3,25,1,10,GP0,ExpQ,Bin,0.6933333333333334,0.5748441696185085,0.8466666666666668,1.6946791834717843
1,2,3,25,1,10,GP0,ExpQ,BBin,0.0,4.948902429398244e-16,0.7071067811865476,1.6467413227117849
1,2,3,25,1,20,Flat,Exp,Bin,1.0,1.0,1.0,4.041157169628991
1,2,3,25,1,20,Flat,Exp,BBin,1.0,1.0,1.0,3.9650144494191726
1,2,3,25,1,20,GP0,Exp,Bin,1.0,1.0,1.0,3.9041928197880145
1,2,3,25,1,20,GP0,Exp,BBin,0.0,-6.474266166693293e-16,0.697614984548545,3.3586164861815115
1,2,3,25,1,20,GP0,ExpQ,Bin,1.0,1.0,1.0,3.8589325146217752
1,2,3,25,1,20,GP0,ExpQ,BBin,0.0,-6.474266166693293e-16,0.697614984548545,3.3640011528623512
1,2,3,25,10,1,Flat,Exp,Bin,0.0,0.0,0.6928203230275509,0.9687585220875601
1,2,3,25,10,1,Flat,Exp,BBin,0.0,0.0,0.6928203230275509,0.9606180346291386
1,2,3,25,10,1,GP0,Exp,Bin,0.0,0.0,0.6928203230275509,0.9484591529846522
1,2,3,25,10,1,GP0,Exp,BBin,0.0,0.0,0.6928203230275509,0.9460674556085659
1,2,3,25,10,1,GP0,ExpQ,Bin,0.0,0.0,0.6928203230275509,0.9643535125514415
1,2,3,25,10,1,GP0,ExpQ,BBin,0.0,0.0,0.6928203230275509,0.9143513357923689
1,2,3,25,10,10,Flat,Exp,Bin,1.0,1.0,1.0,3.356812206684159
1,2,3,25,10,10,Flat,Exp,BBin,0.0,4.948902429398244e-16,0.7071067811865476,3.0442782126348664
1,2,3,25,10,10,GP0,Exp,Bin,0.76,0.8064168119543224,0.8717797887081347,3.3266333291074925
1,2,3,25,10,10,GP0,Exp,BBin,0.0,4.948902429398244e-16,0.7071067811865476,3.027751576251227
1,2,3,25,10,10,GP0,ExpQ,Bin,0.76,0.8064168119543224,0.8717797887081347,3.3335995165345205
1,2,3,25,10,10,GP0,ExpQ,BBin,0.0,4.948902429398244e-16,0.7071067811865476,3.011544565400363
1,2,3,25,10,20,Flat,Exp,Bin,1.0,1.0,1.0,9.118607849344459
1,2,3,25,10,20,Flat,Exp,BBin,0.0,0.0,0.6928203230275509,8.608508293278506
1,2,3,25,10,20,GP0,Exp,Bin,1.0,1.0,1.0,9.026802435833453
1,2,3,25,10,20,GP0,Exp,BBin,0.0,0.0,0.6928203230275509,8.543851355606598
1,2,3,25,10,20,GP0,ExpQ,Bin,1.0,1.0,1.0,9.024371996333086
1,2,3,25,10,20,GP0,ExpQ,BBin,0.0,0.0,0.6928203230275509,8.484350432298989
1,2,3,25,100,1,Flat,Exp,Bin,0.0,0.0,0.6928203230275509,1.3719200051974358
1,2,3,25,100,1,Flat,Exp,BBin,0.0,0.0,0.6928203230275509,1.355645225819265
1,2,3,25,100,1,GP0,Exp,Bin,0.0,0.0,0.6928203230275509,1.3502952005112585
1,2,3,25,100,1,GP0,Exp,BBin,0.0,0.0,0.6928203230275509,1.3046685872590962
1,2,3,25,100,1,GP0,ExpQ,Bin,0.0,0.0,0.6928203230275509,1.3664814646098118
1,2,3,25,100,1,GP0,ExpQ,BBin,0.0,0.0,0.6928203230275509,1.3110967089510313
1,2,3,25,100,10,Flat,Exp,Bin,1.0,1.0,1.0,4.672026240361253
1,2,3,25,100,10,Flat,Exp,BBin,0.0,0.0,0.7211102550927979,4.1453727880729705
1,2,3,25,100,10,GP0,Exp,Bin,1.0,1.0,1.0,4.561001383954753
1,2,3,25,100,10,GP0,Exp,BBin,0.0,0.0,0.7211102550927979,4.124070493896549
1,2,3,25,100,10,GP0,ExpQ,Bin,1.0,1.0,1.0,4.57628320742417
1,2,3,25,100,10,GP0,ExpQ,BBin,0.0,0.0,0.7211102550927979,4.140908212523389
1,2,3,25,100,20,Flat,Exp,Bin,1.0,1.0,1.0,5.04297841775076
1,2,3,25,100,20,Flat,Exp,BBin,1.0,1.0,1.0,5.009046130274047
1,2,3,25,100,20,GP0,Exp,Bin,1.0,1.0,1.0,4.993707785925248
1,2,3,25,100,20,GP0,Exp,BBin,1.0,1.0,1.0,4.9966419129891095
1,2,3,25,100,20,GP0,ExpQ,Bin,1.0,1.0,1.0,5.145222411992336
1,2,3,25,100,20,GP0,ExpQ,BBin,0.0,4.948902429398244e-16,0.7071067811865476,4.5015125970347905
1,2,3,50,1,1,Flat,Exp,Bin,1.0,1.0,1.0,1.8724352269723015
1,2,3,50,1,1,Flat,Exp,BBin,1.0,1.0,1.0,1.8745603321269337
1,2,3,50,1,1,GP0,Exp,Bin,1.0,1.0,1.0,1.8465093406157524
1,2,3,50,1,1,GP0,Exp,BBin,1.0,1.0,1.0,1.8569389421668294
1,2,3,50,1,1,GP0,ExpQ,Bin,1.0,1.0,1.0,1.881700140530477
1,2,3,50,1,1,GP0,ExpQ,BBin,1.0,1.0,1.0,1.8747621578012026
1,2,3,50,1,10,Flat,Exp,Bin,1.0,1.0,1.0,2.7517223884457946
1,2,3,50,1,10,Flat,Exp,BBin,1.0,1.0,1.0,2.7372709151858645
1,2,3,50,1,10,GP0,Exp,Bin,1.0,1.0,1.0,2.727416135034902
1,2,3,50,1,10,GP0,Exp,BBin,1.0,1.0,1.0,2.7058281113442533
1,2,3,50,1,10,GP0,ExpQ,Bin,1.0,1.0,1.0,2.7408082864290186
1,2,3,50,1,10,GP0,ExpQ,BBin,1.0,1.0,1.0,2.7329945358398766
1,2,3,50,1,20,Flat,Exp,Bin,1.0,1.0,1.0,2.58535124349885
1,2,3,50,1,20,Flat,Exp,BBin,0.0,0.0,0.6998542122237652,2.3084754140371575
1,2,3,50,1,20,GP0,Exp,Bin,1.0,1.0,1.0,2.5424138596230716
1,2,3,50,1,20,GP0,Exp,BBin,0.0,0.0,0.6998542122237652,2.2719980448282993
1,2,3,50,1,20,GP0,ExpQ,Bin,1.0,1.0,1.0,2.58919894495453
1,2,3,50,1,20,GP0,ExpQ,BBin,0.0,0.0,0.6998542122237652,2.2354791994418717
1,2,3,50,10,1,Flat,Exp,Bin,0.9199936554735536,0.8756291470008518,0.9596124393041067,1.180520745487344
1,2,3,50,10,1,Flat,Exp,BBin,0.0,-1.2873200298016445e-15,0.7021831844254004,1.060911289568049
1,2,3,50,10,1,GP0,Exp,Bin,0.9199936554735536,0.8756291470008517,0.9596124393041067,1.1560835678618118
1,2,3,50,10,1,GP0,Exp,BBin,0.0,-1.2873200298016445e-15,0.7021831844254004,1.0424513666000537
