REP,NCLUSTERS,NSAMPLES,NMUTS,TAU,H2,PRIOR,COV,LIK,ARI,AMI,FMI,RMSE
1,2,3,25,1,1,Flat,Exp,Bin,1.0,1.0,1.0,1.25239172384624
1,2,3,25,1,1,Flat,Exp,BBin,0.0,4.948902429398244e-16,0.7071067811865476,0.9967516922366938
1,2,3,25,1,1,GP0,Exp,Bin,1.0,1.0,1.0,1.2554658979291435
1,2,3,25,1,1,GP0,Exp,BBin,1.0,1.0,1.0,1.2499035703837587
1,2,3,25,1,1,GP0,ExpQ,Bin,1.0,1.0,1.0,1.2496980856245377
1,2,3,25,1,1,GP0,ExpQ,BBin,1.0,1.0,1.0,1.2497937887074235
1,2,3,25,1,10,Flat,Exp,Bin,1.0,1.0,1.0,3.2992464423314
1,2,3,25,1,10,Flat,Exp,BBin,1.0,1.0,1.0,3.302590267533372
1,2,3,25,1,10,GP0,Exp,Bin,1.0,1.0,1.0,3.2996476501972953
1,2,3,25,1,10,GP0,Exp,BBin,1.0,1.0,1.0,3.2984661430529565
1,2,3,25,1,10,GP0,ExpQ,Bin,1.0,1.0,1.0,3.2887211031954386
1,2,3,25,1,10,GP0,ExpQ,BBin,1.0,1.0,1.0,3.2985780110371086
1,2,3,25,1,20,Flat,Exp,Bin,1.0,1.0,1.0,6.7382636564360725
1,2,3,25,1,20,Flat,Exp,BBin,1.0,1.0,1.0,6.721819423662423
1,2,3,25,1,20,GP0,Exp,Bin,1.0,1.0,1.0,6.713175668509909
1,2,3,25,1,20,GP0,Exp,BBin,1.0,1.0,1.0,6.680826030806108
1,2,3,25,1,20,GP0,ExpQ,Bin,1.0,1.0,1.0,6.68890291536146
1,2,3,25,1,20,GP0,ExpQ,BBin,1.0,1.0,1.0,6.65733623384161
1,2,3,25,10,1,Flat,Exp,Bin,1.0,1.0,1.0,1.0507485790050202
1,2,3,25,10,1,Flat,Exp,BBin,0.0,0.0,0.6928203230275509,0.979957292694685
1,2,3,25,10,1,GP0,Exp,Bin,1.0,1.0,1.0,1.0526958831997157
1,2,3,25,10,1,GP0,Exp,BBin,0.0,0.0,0.6928203230275509,0.9546515317570617
1,2,3,25,10,1,GP0,ExpQ,Bin,1.0,1.0,1.0,1.050372336153049
1,2,3,25,10,1,GP0,ExpQ,BBin,0.0,0.0,0.6928203230275509,0.948783652199806
1,2,3,25,10,10,Flat,Exp,Bin,1.0,1.0,1.0,4.912791636686975
1,2,3,25,10,10,Flat,Exp,BBin,1.0,1.0,1.0,4.898023319500558
1,2,3,25,10,10,GP0,Exp,Bin,1.0,1.0,1.0,4.90383895308631
1,2,3,25,10,10,GP0,Exp,BBin,1.0,1.0,1.0,4.867189999083874
1,2,3,25,10,10,GP0,ExpQ,Bin,1.0,1.0,1.0,4.888069178249236
1,2,3,25,10,10,GP0,ExpQ,BBin,1.0,1.0,1.0,4.548933920920293
1,2,3,25,10,20,Flat,Exp,Bin,1.0,1.0,1.0,8.264628567835722
1,2,3,25,10,20,Flat,Exp,BBin,1.0,1.0,1.0,8.236836072882287
1,2,3,25,10,20,GP0,Exp,Bin,1.0,1.0,1.0,8.264062342734293
1,2,3,25,10,20,GP0,Exp,BBin,1.0,1.0,1.0,8.245378757210718
1,2,3,25,10,20,GP0,ExpQ,Bin,1.0,1.0,1.0,8.260173215221082
1,2,3,25,10,20,GP0,ExpQ,BBin,1.0,1.0,1.0,8.259876598417089
1,2,3,25,100,1,Flat,Exp,Bin,1.0,1.0,1.0,1.0376041094230173
1,2,3,25,100,1,Flat,Exp,BBin,0.0,0.0,0.7211102550927979,0.9616451279513849
1,2,3,25,100,1,GP0,Exp,Bin,1.0,1.0,1.0,1.0301914931411007
1,2,3,25,100,1,GP0,Exp,BBin,0.0,0.0,0.7211102550927979,0.9414255058171084
1,2,3,25,100,1,GP0,ExpQ,Bin,0.7422680412371134,0.7968053728813673,0.8660254037844386,1.033198230963858
1,2,3,25,100,1,GP0,ExpQ,BBin,0.0,0.0,0.7211102550927979,0.9577660397970311
1,2,3,25,100,10,Flat,Exp,Bin,1.0,1.0,1.0,3.229644827409503
1,2,3,25,100,10,Flat,Exp,BBin,0.0,0.0,0.7211102550927979,3.2350417528068514
1,2,3,25,100,10,GP0,Exp,Bin,1.0,1.0,1.0,3.236767207333076
1,2,3,25,100,10,GP0,Exp,BBin,0.0,0.0,0.7211102550927979,3.2268423510706103
1,2,3,25,100,10,GP0,ExpQ,Bin,1.0,1.0,1.0,3.232748902088063
1,2,3,25,100,10,GP0,ExpQ,BBin,0.0,0.0,0.7211102550927979,2.8673426996516267
1,2,3,25,100,20,Flat,Exp,Bin,1.0,1.0,1.0,2.7592747316108506
1,2,3,25,100,20,Flat,Exp,BBin,1.0,1.0,1.0,2.7540993910500484
1,2,3,25,100,20,GP0,Exp,Bin,1.0,1.0,1.0,2.7550019011756177
1,2,3,25,100,20,GP0,Exp,BBin,0.0,4.948902429398244e-16,0.7071067811865476,2.1186910634303473
1,2,3,25,100,20,GP0,ExpQ,Bin,1.0,1.0,1.0,2.7669513432825235
1,2,3,25,100,20,GP0,ExpQ,BBin,0.0,4.948902429398244e-16,0.7071067811865476,2.1269625439713673
1,2,3,50,1,1,Flat,Exp,Bin,1.0,1.0,1.0,0.7733610110169871
1,2,3,50,1,1,Flat,Exp,BBin,0.010914051841746292,0.007292680234485137,0.6948083337796512,0.6921393738313909
1,2,3,50,1,1,GP0,Exp,Bin,1.0,1.0,1.0,0.7749877805572372
1,2,3,50,1,1,GP0,Exp,BBin,1.0,1.0,1.0,0.7730156140423863
1,2,3,50,1,1,GP0,ExpQ,Bin,1.0,1.0,1.0,0.7719406709754477
1,2,3,50,1,1,GP0,ExpQ,BBin,1.0,1.0,1.0,0.779345984229105
