REP,NCLUSTERS,NSAMPLES,NMUTS,TAU,H2,PRIOR,COV,LIK,ARI,AMI,FMI,RMSE
1,2,3,25,1,1,Flat,Exp,Bin,1.0,1.0,1.0,1.25239172384624
1,2,3,25,1,1,Flat,Exp,BBin,0.0,4.948902429398244e-16,0.7071067811865476,0.9858020522662955
1,2,3,25,1,1,GP0,Exp,Bin,1.0,1.0,1.0,1.2585668828306702
1,2,3,25,1,1,GP0,Exp,BBin,1.0,1.0,1.0,1.2565857924428565
1,2,3,25,1,1,GP0,Mat32,Bin,1.0,1.0,1.0,1.2572133325025052
1,2,3,25,1,1,GP0,Mat32,BBin,1.0,1.0,1.0,1.2452078392585197
1,2,3,25,1,1,GP0,Mat52,Bin,1.0,1.0,1.0,1.259678245936376
1,2,3,25,1,1,GP0,Mat52,BBin,1.0,1.0,1.0,1.256914041634631
1,2,3,25,1,1,GP0,ExpQ,Bin,1.0,1.0,1.0,1.2579997670558385
1,2,3,25,1,1,GP0,ExpQ,BBin,1.0,1.0,1.0,1.2605779492522533
1,2,3,25,1,10,Flat,Exp,Bin,1.0,1.0,1.0,3.2992464423314
1,2,3,25,1,10,Flat,Exp,BBin,1.0,1.0,1.0,3.3050204832942276
1,2,3,25,1,10,GP0,Exp,Bin,1.0,1.0,1.0,3.2975408705618894
1,2,3,25,1,10,GP0,Exp,BBin,1.0,1.0,1.0,3.3083916998514593
1,2,3,25,1,10,GP0,Mat32,Bin,1.0,1.0,1.0,3.2936564597952724
1,2,3,25,1,10,GP0,Mat32,BBin,1.0,1.0,1.0,3.3131726638115366
1,2,3,25,1,10,GP0,Mat52,Bin,1.0,1.0,1.0,3.288674166065884
1,2,3,25,1,10,GP0,Mat52,BBin,1.0,1.0,1.0,3.3056529638678978
1,2,3,25,1,10,GP0,ExpQ,Bin,1.0,1.0,1.0,3.3033166636584235
1,2,3,25,1,10,GP0,ExpQ,BBin,1.0,1.0,1.0,3.2967892726850168
1,2,3,25,1,20,Flat,Exp,Bin,1.0,1.0,1.0,6.7382636564360725
1,2,3,25,1,20,Flat,Exp,BBin,1.0,1.0,1.0,6.711651475361623
1,2,3,25,1,20,GP0,Exp,Bin,1.0,1.0,1.0,6.6882262168709605
1,2,3,25,1,20,GP0,Exp,BBin,1.0,1.0,1.0,6.729914389320507
1,2,3,25,1,20,GP0,Mat32,Bin,1.0,1.0,1.0,6.707391272155722
1,2,3,25,1,20,GP0,Mat32,BBin,1.0,1.0,1.0,6.656467805131551
1,2,3,25,1,20,GP0,Mat52,Bin,1.0,1.0,1.0,6.70119524964642
1,2,3,25,1,20,GP0,Mat52,BBin,1.0,1.0,1.0,6.700588739157352
1,2,3,25,1,20,GP0,ExpQ,Bin,1.0,1.0,1.0,6.6555695156958095
1,2,3,25,1,20,GP0,ExpQ,BBin,1.0,1.0,1.0,6.65632766650547
1,2,3,25,10,1,Flat,Exp,Bin,1.0,1.0,1.0,1.0507485790050202
1,2,3,25,10,1,Flat,Exp,BBin,0.0,0.0,0.6928203230275509,0.9752732124773285
1,2,3,25,10,1,GP0,Exp,Bin,1.0,1.0,1.0,1.056409599631802
1,2,3,25,10,1,GP0,Exp,BBin,0.0,0.0,0.6928203230275509,0.9672608554321426
1,2,3,25,10,1,GP0,Mat32,Bin,1.0,1.0,1.0,1.0559883622216053
1,2,3,25,10,1,GP0,Mat32,BBin,0.0,0.0,0.6928203230275509,0.9590650238089192
1,2,3,25,10,1,GP0,Mat52,Bin,1.0,1.0,1.0,1.0523628477749218
1,2,3,25,10,1,GP0,Mat52,BBin,0.0,0.0,0.6928203230275509,0.9526646817170119
1,2,3,25,10,1,GP0,ExpQ,Bin,1.0,1.0,1.0,1.048129180922724
1,2,3,25,10,1,GP0,ExpQ,BBin,0.0,0.0,0.6928203230275509,0.9525618054955063
1,2,3,25,10,10,Flat,Exp,Bin,1.0,1.0,1.0,4.897170508497909
1,2,3,25,10,10,Flat,Exp,BBin,1.0,1.0,1.0,4.89802331950143
1,2,3,25,10,10,GP0,Exp,Bin,1.0,1.0,1.0,4.8878796115653955
1,2,3,25,10,10,GP0,Exp,BBin,1.0,1.0,1.0,4.874042330972751
1,2,3,25,10,10,GP0,Mat32,Bin,1.0,1.0,1.0,4.9026653118301065
1,2,3,25,10,10,GP0,Mat32,BBin,1.0,1.0,1.0,4.863303844031962
1,2,3,25,10,10,GP0,Mat52,Bin,1.0,1.0,1.0,4.892359547831365
1,2,3,25,10,10,GP0,Mat52,BBin,1.0,1.0,1.0,4.541108534184691
1,2,3,25,10,10,GP0,ExpQ,Bin,1.0,1.0,1.0,4.886008285230426
1,2,3,25,10,10,GP0,ExpQ,BBin,1.0,1.0,1.0,4.542592135075639
1,2,3,25,10,20,Flat,Exp,Bin,1.0,1.0,1.0,8.257320262155533
1,2,3,25,10,20,Flat,Exp,BBin,1.0,1.0,1.0,8.236836072882644
1,2,3,25,10,20,GP0,Exp,Bin,1.0,1.0,1.0,8.280940943325092
1,2,3,25,10,20,GP0,Exp,BBin,1.0,1.0,1.0,8.230738876957396
1,2,3,25,10,20,GP0,Mat32,Bin,1.0,1.0,1.0,8.266427681501607
1,2,3,25,10,20,GP0,Mat32,BBin,1.0,1.0,1.0,8.237386839843776
1,2,3,25,10,20,GP0,Mat52,Bin,1.0,1.0,1.0,8.281114554504079
1,2,3,25,10,20,GP0,Mat52,BBin,1.0,1.0,1.0,8.251487190664916
1,2,3,25,10,20,GP0,ExpQ,Bin,1.0,1.0,1.0,8.222075648270673
1,2,3,25,10,20,GP0,ExpQ,BBin,1.0,1.0,1.0,8.223552027356048
1,2,3,25,100,1,Flat,Exp,Bin,1.0,1.0,1.0,1.0376041094230173
1,2,3,25,100,1,Flat,Exp,BBin,0.0,0.0,0.7211102550927979,0.9626205225903445
1,2,3,25,100,1,GP0,Exp,Bin,1.0,1.0,1.0,1.0331581933811322
1,2,3,25,100,1,GP0,Exp,BBin,0.0,0.0,0.7211102550927979,0.9545226042935536
1,2,3,25,100,1,GP0,Mat32,Bin,1.0,1.0,1.0,1.029173490293752
1,2,3,25,100,1,GP0,Mat32,BBin,0.0,0.0,0.7211102550927979,0.9553761688800193
1,2,3,25,100,1,GP0,Mat52,Bin,1.0,1.0,1.0,1.0371198056444235
1,2,3,25,100,1,GP0,Mat52,BBin,0.0,0.0,0.7211102550927979,0.9643793086658634
1,2,3,25,100,1,GP0,ExpQ,Bin,1.0,1.0,1.0,1.037023907735709
1,2,3,25,100,1,GP0,ExpQ,BBin,0.0,0.0,0.7211102550927979,0.9554022559664254
1,2,3,25,100,10,Flat,Exp,Bin,1.0,1.0,1.0,3.231497430277859
1,2,3,25,100,10,Flat,Exp,BBin,0.0,0.0,0.7211102550927979,3.235041752806853
1,2,3,25,100,10,GP0,Exp,Bin,1.0,1.0,1.0,3.24334033215895
1,2,3,25,100,10,GP0,Exp,BBin,0.0,0.0,0.7211102550927979,3.236717791459486
1,2,3,25,100,10,GP0,Mat32,Bin,1.0,1.0,1.0,3.2457821173281776
1,2,3,25,100,10,GP0,Mat32,BBin,0.0,0.0,0.7211102550927979,3.2468503909279955
1,2,3,25,100,10,GP0,Mat52,Bin,1.0,1.0,1.0,3.2266464165256825
1,2,3,25,100,10,GP0,Mat52,BBin,0.0,0.0,0.7211102550927979,3.234150145293234
1,2,3,25,100,10,GP0,ExpQ,Bin,1.0,1.0,1.0,3.236282610966377
1,2,3,25,100,10,GP0,ExpQ,BBin,0.0,0.0,0.7211102550927979,2.8661941750424274
1,2,3,25,100,20,Flat,Exp,Bin,1.0,1.0,1.0,2.75927473161085
1,2,3,25,100,20,Flat,Exp,BBin,1.0,1.0,1.0,2.754099391050048
1,2,3,25,100,20,GP0,Exp,Bin,1.0,1.0,1.0,2.7603932113154936
1,2,3,25,100,20,GP0,Exp,BBin,0.0,4.948902429398244e-16,0.7071067811865476,2.1241885128537796
1,2,3,25,100,20,GP0,Mat32,Bin,1.0,1.0,1.0,2.7544936218454836
1,2,3,25,100,20,GP0,Mat32,BBin,0.0,4.948902429398244e-16,0.7071067811865476,2.1186578705350194
1,2,3,25,100,20,GP0,Mat52,Bin,1.0,1.0,1.0,2.7534245679579183
1,2,3,25,100,20,GP0,Mat52,BBin,0.0,4.948902429398244e-16,0.7071067811865476,2.1273995861123343
1,2,3,25,100,20,GP0,ExpQ,Bin,1.0,1.0,1.0,2.7535170749428635
1,2,3,25,100,20,GP0,ExpQ,BBin,0.0,4.948902429398244e-16,0.7071067811865476,2.1266036817906517
1,2,3,50,1,1,Flat,Exp,Bin,1.0,1.0,1.0,0.7733592223522308
1,2,3,50,1,1,Flat,Exp,BBin,0.010914051841746292,0.007292680234485137,0.6948083337796512,0.6921393738312137
1,2,3,50,1,1,GP0,Exp,Bin,1.0,1.0,1.0,0.7704388953044303
1,2,3,50,1,1,GP0,Exp,BBin,1.0,1.0,1.0,0.7740270412620882
1,2,3,50,1,1,GP0,Mat32,Bin,1.0,1.0,1.0,0.7716306860876776
1,2,3,50,1,1,GP0,Mat32,BBin,1.0,1.0,1.0,0.7718993215731202
1,2,3,50,1,1,GP0,Mat52,Bin,1.0,1.0,1.0,0.777531085047357
1,2,3,50,1,1,GP0,Mat52,BBin,1.0,1.0,1.0,0.7721993576545476
1,2,3,50,1,1,GP0,ExpQ,Bin,1.0,1.0,1.0,0.7740865991605799
1,2,3,50,1,1,GP0,ExpQ,BBin,1.0,1.0,1.0,0.7728808638783254
1,2,3,50,1,10,Flat,Exp,Bin,1.0,1.0,1.0,3.143406509535966
1,2,3,50,1,10,Flat,Exp,BBin,1.0,1.0,1.0,3.1259007593405324
1,2,3,50,1,10,GP0,Exp,Bin,1.0,1.0,1.0,3.1367736126281613
1,2,3,50,1,10,GP0,Exp,BBin,1.0,1.0,1.0,3.125468968217935
1,2,3,50,1,10,GP0,Mat32,Bin,1.0,1.0,1.0,3.144967238137976
1,2,3,50,1,10,GP0,Mat32,BBin,1.0,1.0,1.0,3.1435613510422216
1,2,3,50,1,10,GP0,Mat52,Bin,1.0,1.0,1.0,3.1393821780020517
1,2,3,50,1,10,GP0,Mat52,BBin,1.0,1.0,1.0,3.1215867362557717
1,2,3,50,1,10,GP0,ExpQ,Bin,1.0,1.0,1.0,3.147945595245178
1,2,3,50,1,10,GP0,ExpQ,BBin,1.0,1.0,1.0,3.1276740813008064
1,2,3,50,1,20,Flat,Exp,Bin,1.0,1.0,1.0,4.519345394373054
1,2,3,50,1,20,Flat,Exp,BBin,0.0,0.0,0.7142857142857143,4.2897069342178655
1,2,3,50,1,20,GP0,Exp,Bin,1.0,1.0,1.0,4.519248980320095
1,2,3,50,1,20,GP0,Exp,BBin,1.0,1.0,1.0,4.522560882389724
1,2,3,50,1,20,GP0,Mat32,Bin,1.0,1.0,1.0,4.524081271793867
1,2,3,50,1,20,GP0,Mat32,BBin,1.0,1.0,1.0,4.521186848796634
1,2,3,50,1,20,GP0,Mat52,Bin,1.0,1.0,1.0,4.515346652299589
1,2,3,50,1,20,GP0,Mat52,BBin,1.0,1.0,1.0,4.527554625382267
1,2,3,50,1,20,GP0,ExpQ,Bin,1.0,1.0,1.0,4.513310512288343
1,2,3,50,1,20,GP0,ExpQ,BBin,1.0,1.0,1.0,4.520664324768265
1,2,3,50,10,1,Flat,Exp,Bin,1.0,1.0,1.0,1.5631312489685767
1,2,3,50,10,1,Flat,Exp,BBin,1.0,1.0,1.0,1.566350455689514
1,2,3,50,10,1,GP0,Exp,Bin,1.0,1.0,1.0,1.5635936004048119
1,2,3,50,10,1,GP0,Exp,BBin,1.0,1.0,1.0,1.5682410985968371
1,2,3,50,10,1,GP0,Mat32,Bin,1.0,1.0,1.0,1.5637359981762105
1,2,3,50,10,1,GP0,Mat32,BBin,1.0,1.0,1.0,1.5615829913922246
1,2,3,50,10,1,GP0,Mat52,Bin,1.0,1.0,1.0,1.5649841558699142
1,2,3,50,10,1,GP0,Mat52,BBin,1.0,1.0,1.0,1.5673264030604126
1,2,3,50,10,1,GP0,ExpQ,Bin,1.0,1.0,1.0,1.5676162589564726
1,2,3,50,10,1,GP0,ExpQ,BBin,1.0,1.0,1.0,1.567288912996333
